#,Name,Item Code,Qty,Notes,Link
23,3613 Series Gecko Wheel (14mm Bore, 96mm),3613-0014-0096,1,High-grip gecko wheel,https://www.gobilda.com/3613-series-gecko-wheel-14mm-bore-96mm-diameter/
24,3613 Series Gecko Wheel (14mm Bore, 72mm),3613-0014-0072,2,Smaller gecko wheel variant,https://www.gobilda.com/3613-series-gecko-wheel-14mm-bore-72mm-diameter/
25,1611 Series Flanged Ball Bearing (8mm REX ID × 14mm OD, 5mm),1611-0514-4008,15,4 for turret, 11 for drivetrain,https://www.gobilda.com/1611-series-flanged-ball-bearing-8mm-rex-id-x-14mm-od-5mm-thickness-2-pack/
26,Miniature Flange Bearings Assortment (MF52ZZ–MF148ZZ),—,10,Various small flanged bearings,https://www.temu.com/ae/10pcs-mf52zz-mf62zz-mf63zz-mf74zz-mf83zz-mf84zz-to-mf148zz-miniature-flange-bearing-thin-wall-metal-shielded-flanged-bearings-g-601101431047091.html
27,1310 Series Hyper Hub (8mm REX Bore),1310-0016-4008,5,1 for turret, 4 for drivetrain,https://www.gobilda.com/1310-series-hyper-hub-8mm-rex-bore/
28,1309 Series Sonic Hub (8mm REX Bore),1309-0016-4008,8,1 for turret, 7 for drivetrain,https://www.gobilda.com/1309-series-sonic-hub-8mm-rex-bore/
29,1906 Series Lightweight Servo Hub (25T Spline, 32mm),1906-0025-0032,3,2 for turret/arm, 1 for drivetrain,https://www.gobilda.com/1906-series-lightweight-servo-hub-25-tooth-spline-32mm-diameter/
30,8mm REX Shaft with E-Clip (Stainless, 192mm),2106-4008-1920,1,Main shaft for turret/arm assembly,https://www.gobilda.com/8mm-rex-shaft-with-e-clip-stainless-steel-192mm-length/
31,1119 Series Shaft Beam (7-Hole, 56mm),1119-0007-0056,16,2 for turret, 14 for drivetrain,https://www.gobilda.com/1119-series-shaft-beam-7-hole-56mm-length/
32,1121 Series Low-Side U-Channel (9-Hole, 240mm),1121-0009-0240,2,Drivetrain frame channel,https://www.gobilda.com/1121-series-low-side-u-channel-9-hole-240mm-length/
33,1205 Series Dual Block Mount (1.5),1205-0001-0005,10,4 for turret, 2 from turret pack, 4 for drivetrain,https://www.gobilda.com/1205-series-dual-block-mount-1-5-2-pack/
34,1516 Series 8mm REX Standoff (192mm),1516-4008-1920,5,4 for turret, 1 for drivetrain,https://www.gobilda.com/1516-series-8mm-rex-standoff-m4-x-0-7mm-threads-192mm-length-4-pack/
35,1516 Series 8mm REX Standoff (288mm),1516-4008-2880,3,Drivetrain frame,https://www.gobilda.com/1516-series-8mm-rex-standoff-m4-x-0-7mm-threads-288mm-length-4-pack/
36,1501 Series M4 × 0.7mm Standoff (26mm),1501-0006-0260,16,Drivetrain spacers,https://www.gobilda.com/1501-series-m4-x-0-7mm-standoff-6mm-od-26mm-length-4-pack/
37,1501 Series M4 × 0.7mm Standoff (16mm),1501-0006-0160,12,Drivetrain spacers,https://www.gobilda.com/1501-series-m4-x-0-7mm-standoff-6mm-od-16mm-length-4-pack/
38,1501 Series M4 × 0.7mm Standoff (46mm),1501-0006-0460,12,Drivetrain spacers,https://www.gobilda.com/1501-series-m4-x-0-7mm-standoff-6mm-od-46mm-length-4-pack/
39,Zinc-Plated Steel Socket Head Screw M3 × 0.5mm × 12mm,2800-0003-0012,8,6-pack,https://www.gobilda.com/zinc-plated-steel-socket-head-screw-m3-x-0-5mm-12mm-length-6-pack/
40,Hex Socket Head Cap Screw M3 × 0.5mm × 5mm,—,16,Generic M3×5 cap screws,
41,Zinc-Plated Steel Button Head Screw M4 × 0.7mm × 60mm,2802-0004-0060,1,25-pack,https://www.gobilda.com/2802-series-zinc-plated-steel-button-head-screw-m4-x-0-7mm-60mm-length-25-pack/
42,Loctite Threadlocker Blue 242 (6mL),2922-0001-0001,2,Thread locking compound,https://www.gobilda.com/loctite-threadlocker-blue-242-6ml/
